Rk,Jugador,Posicion,Edad,Codigo de equipo,Partidos,Titulares,Minutos jugados,Triples logrados,Triples totales,Tiros de dos puntos logrados,Tiros de dos puntos totales,Tiros libres logrados,Tiros libres totales,Rebotes ofensivos,Rebotes defensivos,Asistencias,Robos,Bloqueos,Perdidas,Faltas personales,Puntos
111,Zach Collins,PF,24,SAS,28,4,502,14,41,62,114,52,65,46,107,61,13,23,45,67,218
112,Darren Collison,PG,34,LAL,3,0,37,0,3,2,4,0,0,0,4,2,1,0,1,5,4
113,Mike Conley,PG,34,UTA,72,72,2058,169,414,175,377,129,162,47,170,385,96,21,123,142,986
114,Pat Connaughton,SG,29,MIL,65,19,1691,146,370,81,126,45,54,45,228,82,59,15,35,86,645
115,Tyler Cook,PF,24,CHI,20,2,200,0,0,23,38,21,32,16,37,3,4,4,7,28,67
116,Sharife Cooper,PG,20,ATL,13,0,39,1,6,2,8,0,0,0,5,5,0,0,5,1,7
117,Petr Cornelie,PF,26,DEN,13,0,38,1,8,4,7,3,4,7,7,3,1,1,4,7,14
118,DeMarcus Cousins,C,31,DEN,48,7,718,37,122,112,202,95,125,74,196,71,35,21,85,139,430
119,Robert Covington,PF-SF,31,LAC,71,42,1940,128,339,81,159,58,69,59,332,92,103,91,75,190,604
120,Torrey Craig,SF,31,PHO,78,16,1596,77,234,123,207,39,52,86,224,91,46,36,67,151,516
121,Jae Crowder,PF,31,PHO,67,67,1886,127,365,90,179,71,90,30,324,124,95,30,55,173,632
122,Jarrett Culver,SG,22,MEM,37,0,338,12,47,39,88,16,34,13,35,33,20,5,20,42,130
123,Jarron Cumberland,SG,24,POR,3,0,12,0,1,1,1,0,0,1,2,1,0,0,0,2,2
124,Cade Cunningham,PG,20,DET,64,64,2088,114,363,315,668,142,168,58,296,356,78,43,234,200,1114
125,Seth Curry,SG,31,BRK,64,64,2135,158,374,202,365,82,94,21,179,230,53,14,109,148,960
126,Stephen Curry,PG,33,GSW,64,64,2211,285,750,250,474,275,298,34,301,404,85,23,206,130,1630
127,Anthony Davis,C,28,LAL,40,40,1404,13,70,357,625,174,244,106,288,122,49,90,82,97,927
128,Ed Davis,C,32,CLE,31,3,201,0,0,11,16,6,14,14,50,7,3,9,5,33,28
129,Terence Davis,SG,24,SAC,30,11,536,49,149,64,118,36,44,11,83,40,25,11,33,70,311
130,Gabriel Deck,PF,26,OKC,7,0,56,2,4,6,10,0,0,1,5,5,1,0,2,2,18
131,Dewayne Dedmon,C,32,MIA,67,15,1065,19,47,145,243,75,100,105,281,47,24,42,70,174,422
132,Sam Dekker,PF,27,TOR,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Javin DeLaurier,C,23,MIL,1,0,3,0,0,0,0,0,0,0,1,0,1,0,0,1,0
134,DeMar DeRozan,PF,32,CHI,76,76,2743,50,142,724,1393,520,593,56,336,374,68,24,181,178,2118
135,Mamadi Diakite,PF,25,OKC,13,3,188,0,5,25,42,6,11,17,42,2,5,9,7,33,56
136,Cheick Diallo,C,25,DET,3,0,31,0,0,3,8,5,6,4,8,0,1,0,1,6,11
137,Hamidou Diallo,SG,23,DET,58,29,1269,23,93,238,433,91,140,69,208,73,71,17,58,143,636
138,Gorgui Dieng,C,32,ATL,44,3,371,29,68,24,44,19,26,32,89,34,11,13,20,52,154
