Rk,Jugador,Posicion,Edad,Codigo de equipo,Partidos,Titulares,Minutos jugados,Triples logrados,Triples totales,Tiros de dos puntos logrados,Tiros de dos puntos totales,Tiros libres logrados,Tiros libres totales,Rebotes ofensivos,Rebotes defensivos,Asistencias,Robos,Bloqueos,Perdidas,Faltas personales,Puntos
292,Damian Jones,C,26,SAC,56,15,1017,10,29,165,237,94,131,75,171,69,26,47,59,130,454
293,Derrick Jones Jr.,PF,24,CHI,51,8,899,20,61,85,134,56,70,60,109,30,25,33,30,105,286
294,Herbert Jones,PF,23,NOP,78,69,2335,57,169,217,407,137,163,98,198,167,130,60,100,238,742
295,Jemerrio Jones,SF,26,LAL,2,0,15,0,0,2,3,0,0,2,1,0,1,0,0,2,4
296,Kai Jones,C,21,CHO,21,0,63,1,2,8,12,3,8,3,8,4,1,2,6,8,22
297,Mason Jones,SG,23,LAL,4,0,51,1,4,6,11,12,15,1,9,4,2,0,1,8,27
298,Tre Jones,PG,22,SAS,69,11,1148,10,51,156,288,71,91,29,126,233,42,7,46,78,413
299,Tyus Jones,PG,25,MEM,73,23,1549,80,205,169,347,54,66,17,159,324,66,2,46,32,632
300,DeAndre Jordan,C,33,PHI,48,20,622,0,0,92,143,22,40,83,181,21,12,35,37,71,206
301,Cory Joseph,PG,30,DET,65,39,1600,65,157,113,243,100,113,29,145,237,42,17,85,147,521
302,Georgios Kalaitzakis,SF,23,OKC,13,4,214,10,26,21,41,14,30,6,15,12,11,2,20,19,86
303,Frank Kaminsky,C,28,PHO,9,0,181,5,15,31,51,18,20,11,30,13,8,7,5,14,95
304,Luke Kennard,SG,25,LAC,70,13,1919,190,423,97,216,69,77,20,209,146,42,6,60,101,833
305,Braxton Key,SF,24,DET,11,0,197,6,21,27,51,7,13,13,37,11,10,11,11,26,79
306,George King,SF,28,DAL,4,0,19,0,4,0,1,1,2,0,5,0,0,0,1,4,1
307,Louis King,SF,22,SAC,10,0,104,8,27,7,20,7,10,0,12,9,2,1,0,14,45
308,Corey Kispert,SF,22,WAS,77,36,1801,112,320,122,194,54,62,53,156,85,35,22,50,93,634
309,Maxi Kleber,PF,30,DAL,59,21,1450,83,255,58,99,46,65,70,280,68,30,58,47,137,411
310,Brandon Knight,PG,30,DAL,5,0,65,4,17,6,8,8,8,0,8,8,1,0,4,5,32
311,Nathan Knight,PF,24,MIN,37,2,267,4,13,41,75,44,60,32,53,22,7,8,18,42,138
312,Kevin Knox,SF,22,ATL,30,0,222,15,54,16,31,16,22,14,30,10,4,2,7,19,93
313,John Konchar,SG,25,MEM,72,7,1292,52,126,83,136,27,49,87,242,109,45,22,29,90,349
314,Furkan Korkmaz,SG,24,PHI,67,19,1414,77,266,105,204,68,84,22,153,127,33,9,48,58,509
315,Luke Kornet,C,26,BOS,15,0,103,0,5,13,22,4,6,13,16,9,3,3,0,9,30
316,Vit Krejci,SG,21,OKC,30,8,690,32,98,36,69,19,22,18,83,57,19,8,29,65,187
317,Arnoldas Kulboka,SF,24,CHO,2,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0
318,Jonathan Kuminga,SF,19,GSW,70,12,1185,50,149,186,311,130,190,54,180,64,31,22,74,146,652
319,Kyle Kuzma,PF,26,WAS,66,66,2204,128,375,295,561,156,219,70,491,233,42,57,169,128,1130
320,Anthony Lamb,SF,24,SAS,2,0,8,0,2,0,0,0,0,0,1,2,0,0,0,0,0
321,Jeremy Lamb,SF-SG,29,SAC,56,0,935,55,170,78,177,89,106,26,128,81,31,22,37,59,410
322,Jock Landale,C,26,SAS,54,1,589,29,89,72,115,34,41,63,75,45,10,14,31,53,265
323,Romeo Langford,SG,22,SAS,48,5,771,29,85,54,106,23,42,30,78,21,22,16,16,47,218
324,Zach LaVine,SF,26,CHI,67,67,2328,185,475,380,711,320,375,22,286,303,41,23,171,120,1635
325,Jake Layman,SF,27,MIN,34,1,231,8,35,22,38,13,18,6,30,9,7,5,10,12,81
326,Damion Lee,SG,29,GSW,63,5,1256,63,187,106,196,66,75,27,176,63,39,6,38,95,467
327,Saben Lee,PG,22,DET,37,0,604,14,60,55,117,56,71,18,69,107,36,12,36,44,208
328,Alex Len,C,28,SAC,39,10,620,6,21,88,155,41,63,52,109,45,13,25,43,100,235
329,Caris LeVert,SG,27,CLE,58,49,1781,82,256,297,598,146,193,43,171,248,51,23,108,131,986
330,Kira Lewis Jr.,PG,20,NOP,24,0,341,13,58,46,88,10,12,9,30,49,11,1,26,17,141
331,Scottie Lewis,SG,21,CHO,2,0,7,0,0,0,0,1,2,0,0,1,1,0,0,0,1
332,Damian Lillard,PG,31,POR,29,29,1056,92,284,130,268,159,181,13,107,212,17,11,83,37,695
333,Nassir Little,SF,21,POR,42,23,1088,51,154,94,161,69,94,58,178,54,25,36,40,82,410
334,Isaiah Livers,SF,23,DET,19,5,383,27,64,14,26,12,14,15,42,21,13,7,15,37,121
335,Kevon Looney,C,25,GSW,82,80,1732,0,1,208,363,75,125,208,388,165,50,52,67,215,491
336,Brook Lopez,C,33,MIL,13,11,298,19,53,42,78,20,23,19,34,6,8,15,12,34,161
337,Robin Lopez,C,33,ORL,36,9,612,2,6,108,193,32,54,68,58,54,2,18,44,67,254
338,Didi Louzada,SG-SF,22,POR,9,1,129,9,23,3,10,2,2,5,12,5,2,2,5,13,35
339,Kevin Love,PF,33,CLE,74,4,1665,187,477,140,284,166,198,87,449,160,26,18,98,101,1007
340,Kyle Lowry,PG,35,MIA,63,63,2133,144,382,132,245,148,174,33,249,474,67,17,168,177,844
341,Gabriel Lundberg,SG,27,PHO,4,0,44,3,8,2,11,0,0,2,5,11,3,0,3,7,13
342,Timothé Luwawu-Cabarrot,SF,26,ATL,52,18,685,44,122,30,64,35,41,17,65,40,18,6,20,76,227
343,Trey Lyles,PF,26,SAC,75,23,1537,67,209,195,353,195,243,89,290,88,29,32,73,123,786
344,Théo Maledon,PG,20,OKC,51,7,908,44,150,75,167,79,100,20,111,111,31,11,65,67,361
345,Sandro Mamukelashvili,PF,22,MIL,41,3,407,22,52,35,63,18,22,35,47,22,9,9,15,28,154
346,Terance Mann,SF,25,LAC,81,33,2317,76,208,258,482,128,164,104,321,209,55,21,84,178,872
347,Tre Mann,PG,20,OKC,60,26,1367,98,272,133,316,65,82,25,146,91,47,12,71,102,625
348,Boban Marjanovi?,C,33,DAL,23,0,128,1,4,41,66,13,22,8,31,3,0,3,15,24,98
349,Lauri Markkanen,PF,24,CLE,61,61,1878,136,380,177,323,138,159,59,286,81,45,30,54,130,900
350,Naji Marshall,SF,24,NOP,55,4,735,21,105,88,164,74,93,38,104,62,33,8,46,69,313
351,Caleb Martin,SF,26,MIA,60,12,1372,64,155,144,255,71,93,70,160,64,58,30,52,104,551
352,Cody Martin,SF,26,CHO,71,11,1866,61,159,143,264,75,107,82,203,179,88,32,61,116,544
353,Kelan Martin,SF,26,BOS,30,1,450,22,75,48,96,9,13,17,38,21,13,9,14,36,171
354,Kenyon Martin Jr.,SF,21,HOU,79,2,1656,60,168,219,355,78,123,80,217,101,34,40,60,113,696
355,Garrison Mathews,SG,25,HOU,65,33,1712,139,386,45,75,143,180,32,158,64,57,24,41,168,650
356,Dakota Mathias,SG,26,MEM,6,0,16,2,6,0,0,0,0,0,2,1,1,0,0,1,6
357,Wesley Matthews,SG,35,MIL,49,14,1002,53,157,34,63,22,28,30,62,36,23,8,18,87,249
358,Tyrese Maxey,PG,21,PHI,75,74,2650,132,309,351,686,213,246,26,214,321,55,32,88,156,1311
359,Skylar Mays,SG,24,ATL,28,5,220,8,25,24,39,8,9,5,20,17,7,0,10,9,80
360,Miles McBride,PG,21,NYK,40,2,372,17,68,15,40,8,12,4,38,41,14,1,5,45,89
361,Mac McClung,SG-PG,23,LAL,2,0,25,1,3,2,3,1,1,0,3,1,1,1,3,5,8
362,CJ McCollum,SG,30,NOP,62,62,2145,182,469,354,695,116,170,53,216,315,70,22,127,121,1370
363,T.J. McConnell,PG,29,IND,27,8,652,10,33,90,175,19,23,20,70,131,29,10,29,53,229
364,Jaden McDaniels,PF,21,MIN,70,31,1803,80,252,175,302,57,71,76,217,79,52,54,75,224,647
365,Jalen McDaniels,SF,24,CHO,55,2,895,41,108,82,146,53,72,37,133,58,26,22,36,93,340
366,Doug McDermott,PF,30,SAS,51,51,1223,108,256,107,209,40,51,18,97,64,13,6,43,79,578
367,JaVale McGee,C,34,PHO,74,17,1172,2,9,286,449,102,146,163,333,42,22,81,98,181,680
368,Cameron McGriff,SF,24,POR,3,0,46,2,6,3,8,2,2,6,9,3,0,1,0,7,14
369,Rodney McGruder,SG,30,DET,51,2,754,58,146,40,79,19,26,31,80,48,21,7,24,58,273
